participant,stimuli,trialNum,target_type,response,correct,block,reaction_time,trigger,
R2410,vultábamos,1,word,1,True,1,1.0681500434875488,2,
R2410,bimaría,2,word,1,True,1,1.2440149784088135,2,
R2410,morderá,3,word,2,True,1,1.1569349765777588,1,
R2410,tuplirá,4,word,1,True,1,1.1280748844146729,2,
R2410,barrerían,5,word,2,True,1,0.9870316982269287,1,
R2410,pavaríamos,6,word,1,True,1,1.1058669090270996,2,
R2410,cortaremos,7,word,2,True,1,0.8288257122039795,1,
R2410,luchábamos,8,word,2,True,1,0.7488601207733154,1,
R2410,partirían,9,word,2,True,1,1.0999197959899902,1,
R2410,focaremos,10,word,1,True,1,0.9679350852966309,2,
R2410,riterán,11,word,1,True,1,1.1551039218902588,2,
R2410,frinderás,12,word,1,True,1,0.9732668399810791,2,
R2410,poreremos,13,word,1,True,1,1.222832202911377,2,
R2410,zusará,14,word,1,True,1,1.1798009872436523,2,
R2410,cortaré,15,word,2,True,1,0.6480922698974609,1,
R2410,frinderán,16,word,1,True,1,0.6518809795379639,2,
R2410,sufrirías,17,word,2,True,1,0.9698588848114014,1,
R2410,tujirás,18,word,1,True,1,0.831831693649292,2,
R2410,pavarías,19,word,1,True,1,0.9018468856811523,2,
R2410,runaría,20,word,1,True,1,1.3059132099151611,2,
R2410,vultaba,21,word,2,False,1,0.8631060123443604,2,
R2410,zusabas,22,word,1,True,1,0.9938580989837646,2,
R2410,imías,23,word,1,True,1,0.6748580932617188,2,
R2410,tosíamos,24,word,2,True,1,0.8664779663085938,1,
R2410,barreré,25,word,2,True,1,1.1006860733032227,1,
R2410,charlábamos,26,word,2,True,1,0.8989958763122559,1,
R2410,besaré,27,word,2,True,1,0.9480969905853271,1,
R2410,anrerán,28,word,1,True,1,0.7339472770690918,2,
R2410,prendería,29,word,2,True,1,0.8988380432128906,1,
R2410,cisaré,30,word,1,True,1,0.6250770092010498,2,
R2410,seserán,31,word,1,True,1,0.7821576595306396,2,
R2410,anríamos,32,word,1,True,1,0.8327910900115967,2,
R2410,somía,33,word,1,True,1,0.7999358177185059,2,
R2410,galaría,34,word,1,True,1,1.0928618907928467,2,
R2410,maftarás,35,word,1,True,1,0.9050540924072266,2,
R2410,anrerían,36,word,1,True,1,1.0569288730621338,2,
R2410,sumaba,37,word,2,True,1,0.9088020324707031,1,
R2410,charlarás,38,word,2,True,1,1.096632957458496,1,
R2410,vultarán,39,word,1,True,1,0.9149160385131836,2,
R2410,unías,40,word,2,True,1,1.0498161315917969,1,
R2410,imirás,41,word,1,True,1,1.0068962574005127,2,
R2410,venderán,42,word,2,True,1,0.7703068256378174,1,
R2410,chanrábamos,43,word,1,True,1,0.9757912158966064,2,
R2410,subirías,44,word,2,True,1,0.7688989639282227,1,
R2410,bailaba,45,word,2,True,1,0.9239742755889893,1,
R2410,lacheríamos,46,word,1,True,1,1.7939231395721436,2,
R2410,bruvirían,47,word,1,True,1,0.9130580425262451,2,
R2410,cichirás,48,word,1,True,1,1.207888126373291,2,
R2410,cetará,49,word,1,True,1,1.208711862564087,2,
R2410,focaríamos,50,word,1,True,1,1.0488801002502441,2,
R2410,correrán,51,word,2,True,1,0.8109807968139648,1,
R2410,lailaríamos,52,word,1,True,1,1.0390629768371582,2,
R2410,unirá,53,word,2,True,1,0.7428631782531738,1,
R2410,temías,54,word,2,True,1,0.9228558540344238,1,
R2410,cortaríamos,55,word,2,True,1,1.065971851348877,1,
R2410,comían,56,word,2,True,1,0.787034273147583,1,
R2410,gachaba,57,word,1,True,1,0.9089360237121582,2,
R2410,anrería,58,word,1,True,1,0.9509100914001465,2,
R2410,lamía,59,word,2,True,1,1.049238920211792,1,
R2410,quijaré,60,word,1,True,1,0.9552052021026611,2,
R2410,pactaría,61,word,1,False,1,1.2778067588806152,1,
R2410,chanrarían,62,word,1,True,1,1.0399847030639648,2,
R2410,pavarás,63,word,1,True,1,0.7630620002746582,2,
R2410,burrarías,64,word,1,True,1,1.0899391174316406,2,
R2410,arderían,65,word,1,False,1,0.7009069919586182,1,
R2410,maftabas,66,word,1,True,1,0.973919153213501,2,
R2410,lucharíamos,67,word,2,True,1,0.616304874420166,1,
R2410,comía,68,word,2,True,1,0.6000828742980957,1,
R2410,bimabas,69,word,1,True,1,1.0099880695343018,2,
R2410,unían,70,word,2,True,1,0.5838029384613037,1,
R2410,prendía,71,word,2,True,1,0.6198110580444336,1,
R2410,nadará,72,word,2,True,1,0.7407302856445312,1,
R2410,fundiría,73,word,2,True,1,0.9839940071105957,1,
R2410,narraba,74,word,2,True,1,0.7380392551422119,1,
R2410,gruñirían,75,word,2,True,1,0.8269331455230713,1,
R2410,imían,76,word,1,True,1,0.7410061359405518,2,
R2410,lorgaría,77,word,2,False,1,0.7789750099182129,2,
R2410,subiría,78,word,2,True,1,1.0547709465026855,1,
R2410,bimarías,79,word,1,True,1,0.7245321273803711,2,
R2410,cipería,80,word,1,True,1,0.623060941696167,2,
R2410,cubriría,81,word,2,True,1,0.7867128849029541,1,
R2410,fanías,82,word,1,True,1,0.6360268592834473,2,
R2410,sumarían,83,word,2,True,1,0.8339309692382812,1,
R2410,faltará,84,word,2,True,1,0.7738888263702393,1,
R2410,sauarás,85,word,1,True,1,1.0649120807647705,2,
R2410,ceterías,86,word,2,False,1,1.2108960151672363,2,
R2410,besaban,87,word,2,True,1,0.5850722789764404,1,
R2410,bailaban,88,word,2,True,1,0.6219110488891602,1,
R2410,sindarán,89,word,1,True,1,1.0370428562164307,2,
R2410,mardirán,90,word,1,True,1,0.8830111026763916,2,
R2410,zusaban,91,word,1,True,1,0.7458767890930176,2,
R2410,nadarían,92,word,2,True,1,0.9410319328308105,1,
R2410,formaríamos,93,word,2,True,1,1.7910442352294922,1,
R2410,tujirán,94,word,1,True,1,0.633019208908081,2,
R2410,burrarían,95,word,1,True,1,1.0498261451721191,2,
R2410,mardiría,96,word,1,True,1,1.0957727432250977,2,
R2410,fundías,97,word,2,True,1,1.0008809566497803,1,
R2410,moncerías,98,word,1,True,1,1.1520631313323975,2,
R2410,chanraremos,99,word,1,True,1,1.3082623481750488,2,
R2410,gruñirá,100,word,2,True,1,1.509819746017456,1,
R2410,narrarán,101,word,2,True,1,0.9405848979949951,1,
R2410,imirá,102,word,1,True,1,0.6509032249450684,2,
R2410,partirías,103,word,1,False,1,1.0999841690063477,1,
R2410,ciperemos,104,word,1,True,1,1.645937204360962,2,
R2410,charlaríamos,105,word,2,True,1,1.1340720653533936,1,
R2410,casarás,106,word,2,True,1,0.8610570430755615,1,
R2410,lucharé,107,word,2,True,1,0.6218240261077881,1,
R2410,mertarías,108,word,1,True,1,1.102241039276123,2,
R2410,quijaba,109,word,1,True,1,1.418281078338623,2,
R2410,moncían,110,word,1,True,1,0.9389431476593018,2,
R2410,bailará,111,word,2,True,1,0.6080830097198486,1,
R2410,tupliremos,112,word,1,True,1,0.6908090114593506,2,
R2410,bruviría,113,word,1,True,1,0.7959680557250977,2,
R2410,partíamos,114,word,2,True,1,0.6721000671386719,1,
R2410,zusaba,115,word,1,True,1,0.6919329166412354,2,
R2410,rotaría,116,word,2,True,1,0.7949202060699463,1,
R2410,pactarían,117,word,1,False,1,1.2151579856872559,1,
R2410,vendíamos,118,word,2,True,1,1.1960232257843018,1,
R2410,besarán,119,word,2,True,1,0.6779205799102783,1,
R2410,eplarás,120,word,1,True,1,0.7009367942810059,2,
R2410,luntiré,121,word,1,True,1,0.7977879047393799,2,
R2410,cedíamos,122,word,2,True,1,0.974876880645752,1,
R2410,maftaremos,123,word,1,True,1,0.8029651641845703,2,
