participant,stimuli,trialNum,target_type,response,correct,block,reaction_time,trigger,
R2415,vultábamos,1,word,1,True,1,0.948976993560791,2,
R2415,burraban,2,word,1,True,1,1.1140120029449463,2,
R2415,gruñía,3,word,2,True,1,0.7770781517028809,1,
R2415,charlaríamos,4,word,2,True,1,1.4827418327331543,1,
R2415,ceteríamos,5,word,1,True,1,1.1029040813446045,2,
R2415,cumpliré,6,word,2,True,1,0.570976734161377,1,
R2415,sumarán,7,word,2,True,1,0.6309108734130859,1,
R2415,gruñíamos,8,word,2,True,1,0.7363379001617432,1,
R2415,gacharás,9,word,1,True,1,1.1588990688323975,2,
R2415,hondían,10,word,1,True,1,1.0299181938171387,2,
R2415,tujía,11,word,1,True,1,0.7760219573974609,2,
R2415,quemará,12,word,2,True,1,0.561049222946167,1,
R2415,cichían,13,word,1,True,1,0.8480968475341797,2,
R2415,correrían,14,word,2,True,1,0.6158998012542725,1,
R2415,lamían,15,word,2,True,1,0.6508989334106445,1,
R2415,bimará,16,word,1,True,1,0.825002908706665,2,
R2415,ceflíamos,17,word,1,True,1,0.7039599418640137,2,
R2415,quemaría,18,word,2,True,1,0.5950291156768799,1,
R2415,tujíamos,19,word,1,True,1,0.7540638446807861,2,
R2415,toserías,20,word,1,False,1,0.6637678146362305,1,
R2415,formarías,21,word,2,True,1,0.8549690246582031,1,
R2415,besarías,22,word,2,True,1,0.5369112491607666,1,
R2415,moncerás,23,word,1,True,1,0.8911621570587158,2,
R2415,lameré,24,word,2,True,1,0.636929988861084,1,
R2415,sumabas,25,word,2,True,1,1.656024694442749,1,
R2415,monceremos,26,word,1,True,1,0.8239779472351074,2,
R2415,pavabas,27,word,1,True,1,1.0569102764129639,2,
R2415,vultarás,28,word,1,True,1,0.7840631008148193,2,
R2415,tuplirán,29,word,1,True,1,1.196885108947754,2,
R2415,besaría,30,word,2,True,1,0.6388559341430664,1,
R2415,lorgarás,31,word,1,True,1,1.2711129188537598,2,
R2415,arderemos,32,word,2,True,1,1.0530517101287842,1,
R2415,lamía,33,word,2,True,1,0.5909619331359863,1,
R2415,charlábamos,34,word,2,True,1,1.1641039848327637,1,
