participant,stimuli,trialNum,target_type,response,correct,block,reaction_time,trigger,
test0,cederían,1,word,2,True,1,1.3010129928588867,1,
test0,correríamos,2,word,2,True,1,1.0990231037139893,1,
test0,cetabas,3,word,1,True,1,0.9281039237976074,2,
test0,pactarían,4,word,1,False,1,2.108915090560913,1,
test0,meterás,5,word,2,True,1,1.6750500202178955,1,
test0,retaré,6,word,2,True,1,1.7948601245880127,1,
test0,vultarás,7,word,1,True,1,1.1590542793273926,2,
test0,luntiríamos,8,word,1,True,1,2.720025062561035,2,
test0,cedían,9,word,2,True,1,0.8921949863433838,1,
test0,poríamos,10,word,1,True,1,1.6511127948760986,2,
test0,cumplías,11,word,2,True,1,0.7809650897979736,1,
test0,monceré,12,word,1,True,1,1.620985984802246,2,
test0,zusarás,13,word,1,True,1,1.643989086151123,2,
test0,gruñirían,14,word,2,True,1,1.733064889907837,1,
test0,cetía,15,word,1,True,1,1.0859239101409912,2,
test0,tujiremos,16,word,1,True,1,1.63204026222229,2,
test0,vultarán,17,word,1,True,1,1.960219144821167,2,
test0,faníamos,18,word,1,True,1,2.044968843460083,2,
test0,comías,19,word,2,True,1,1.4741249084472656,1,
test0,seseré,20,word,1,True,1,1.4483749866485596,2,
test0,seserías,21,word,1,True,1,1.5940041542053223,2,
test0,sufrirá,22,word,2,True,1,1.200011968612671,1,
test0,tujiré,23,word,1,True,1,1.918929100036621,2,
test0,besaremos,24,word,2,True,1,1.1779778003692627,1,
test0,temería,25,word,2,True,1,1.1330080032348633,1,
test0,venderá,26,word,2,True,1,0.8538568019866943,1,
test0,quijaré,27,word,1,True,1,1.3891270160675049,2,
test0,rayará,28,word,2,True,1,1.4549963474273682,1,
test0,obrábamos,29,word,2,True,1,2.8632099628448486,1,
test0,ritían,30,word,1,True,1,0.8721408843994141,2,
test0,nadaban,31,word,2,True,1,0.8372559547424316,1,
test0,cenabas,32,word,2,True,1,1.3783197402954102,1,
test0,sufriría,33,word,2,True,1,1.0183322429656982,1,
test0,sauará,34,word,1,True,1,0.9843337535858154,2,
test0,cipían,35,word,1,True,1,0.8086957931518555,2,
test0,rimarías,36,word,1,False,1,1.0970170497894287,1,
test0,formaríamos,37,word,2,True,1,2.1993861198425293,1,
test0,gacharían,38,word,1,True,1,1.650134563446045,2,
test0,bigarían,39,word,1,True,1,1.407310962677002,2,
test0,zusábamos,40,word,1,True,1,1.4899508953094482,2,
test0,cipíamos,41,word,1,True,1,0.8682730197906494,2,
test0,cenaría,42,word,2,True,1,1.308196783065796,1,
test0,lacherá,43,word,2,False,1,1.1374437808990479,2,
test0,comerás,44,word,2,True,1,2.455846071243286,1,
test0,cisaba,45,word,1,True,1,0.9552550315856934,2,
test0,someremos,46,word,1,True,1,1.961961269378662,2,
test0,galarían,47,word,1,True,1,1.5789790153503418,2,
test0,quemaríamos,48,word,2,True,1,1.7209270000457764,1,
test0,cetaremos,49,word,1,True,1,1.7878451347351074,2,
