participant,stimuli,trialNum,target_type,response,correct,block,reaction_time,trigger,
R2395,besaremos,1,word,2,True,1,0.8252730369567871,1,
R2395,rimaba,2,word,2,True,1,0.6772861480712891,1,
R2395,sindaré,3,word,1,True,1,0.8991758823394775,2,
R2395,tujirá,4,word,1,True,1,0.899057149887085,2,
R2395,cumpliré,5,word,2,True,1,0.7853851318359375,1,
R2395,rondaba,6,word,2,True,1,1.3717260360717773,1,
R2395,sumarás,7,word,2,True,1,0.6320538520812988,1,
R2395,quijabas,8,word,1,True,1,0.9981770515441895,2,
R2395,sauaba,9,word,1,True,1,0.6701009273529053,2,
R2395,temerán,10,word,2,True,1,0.7730886936187744,1,
R2395,ceflerá,11,word,1,True,1,1.1140336990356445,2,
R2395,cetarían,12,word,1,True,1,0.9901790618896484,2,
R2395,cenaré,13,word,2,True,1,0.5160801410675049,1,
R2395,galarían,14,word,1,True,1,1.0610411167144775,2,
R2395,burraríamos,15,word,1,True,1,1.008180856704712,2,
R2395,fundiremos,16,word,2,True,1,1.1316616535186768,1,
R2395,quijaré,17,word,1,True,1,0.937950849533081,2,
R2395,temeremos,18,word,2,True,1,1.108989953994751,1,
R2395,luntirá,19,word,1,True,1,0.9459371566772461,2,
R2395,vultarían,20,word,1,True,1,0.671734094619751,2,
R2395,obrarán,21,word,2,True,1,0.9448421001434326,1,
R2395,meteríamos,22,word,2,True,1,1.438979148864746,1,
R2395,prenderías,23,word,2,True,1,0.8868517875671387,1,
R2395,temería,24,word,2,True,1,0.7699649333953857,1,
R2395,luchaban,25,word,2,True,1,0.6256988048553467,1,
R2395,poreré,26,word,1,True,1,0.7927961349487305,2,
R2395,cuarrirías,27,word,1,True,1,0.6972949504852295,2,
R2395,tujiré,28,word,1,True,1,0.5530338287353516,2,
R2395,fanían,29,word,1,True,1,0.5568099021911621,2,
R2395,rotábamos,30,word,2,True,1,0.7177760601043701,1,
R2395,cichirías,31,word,1,True,1,0.7070517539978027,2,
R2395,cipíamos,32,word,1,True,1,0.640934944152832,2,
R2395,lorgaría,33,word,1,True,1,0.6693458557128906,2,
R2395,tosería,34,word,2,True,1,0.7980141639709473,1,
R2395,formaban,35,word,2,True,1,0.9189612865447998,1,
R2395,sufriría,36,word,2,True,1,0.6458959579467773,1,
R2395,obraré,37,word,2,True,1,0.5919022560119629,1,
R2395,fundiría,38,word,2,True,1,0.5863196849822998,1,
R2395,frinderemos,39,word,1,True,1,0.8118820190429688,2,
R2395,rondarían,40,word,2,True,1,0.5690810680389404,1,
R2395,bimábamos,41,word,1,True,1,0.77783203125,2,
R2395,cortaban,42,word,2,True,1,0.6570119857788086,1,
R2395,cenabas,43,word,2,True,1,0.6649971008300781,1,
R2395,luchabas,44,word,2,True,1,0.6069889068603516,1,
R2395,rimábamos,45,word,2,True,1,0.6160480976104736,1,
R2395,somían,46,word,1,True,1,0.8389120101928711,2,
R2395,narrarías,47,word,2,True,1,0.9149408340454102,1,
R2395,tupliré,48,word,1,True,1,0.6743149757385254,2,
R2395,gachaba,49,word,1,True,1,1.1929709911346436,2,
R2395,chanraríamos,50,word,1,True,1,0.6817936897277832,2,
R2395,fundíamos,51,word,2,True,1,0.8689620494842529,1,
R2395,sauaríamos,52,word,1,True,1,0.7620000839233398,2,
R2395,ciperán,53,word,1,True,1,1.3737897872924805,2,
R2395,sumarían,54,word,2,True,1,0.6529936790466309,1,
R2395,prendían,55,word,2,True,1,0.8680119514465332,1,
R2395,rayarán,56,word,2,True,1,0.9880740642547607,1,
R2395,burrará,57,word,2,False,1,0.6918141841888428,2,
R2395,seserán,58,word,1,True,1,2.0419158935546875,2,
R2395,maftarás,59,word,1,True,1,0.6549739837646484,2,
R2395,tujirán,60,word,1,True,1,0.9110698699951172,2,
R2395,rotaba,61,word,2,True,1,0.7759850025177002,1,
R2395,arderemos,62,word,2,True,1,0.8297269344329834,1,
R2395,ardía,63,word,2,True,1,1.1859729290008545,1,
R2395,cuarriré,64,word,1,True,1,0.7879939079284668,2,
R2395,quemaríamos,65,word,2,True,1,0.7869729995727539,1,
R2395,subirá,66,word,2,True,1,0.5699489116668701,1,
R2395,cortarías,67,word,2,True,1,0.7099330425262451,1,
R2395,cenaban,68,word,2,True,1,0.604830265045166,1,
R2395,cumpliremos,69,word,2,True,1,0.7998909950256348,1,
R2395,tosíamos,70,word,2,True,1,1.4888901710510254,1,
R2395,galarías,71,word,1,True,1,0.8909590244293213,2,
R2395,morderé,72,word,2,True,1,0.8228249549865723,1,
R2395,riteremos,73,word,1,True,1,0.6578881740570068,2,
R2395,cortabas,74,word,2,True,1,0.6599838733673096,1,
R2395,partían,75,word,2,True,1,1.0548081398010254,1,
R2395,ciperás,76,word,1,True,1,0.6360440254211426,2,
R2395,sesías,77,word,1,True,1,0.8908491134643555,2,
R2395,runará,78,word,1,True,1,0.6939587593078613,2,
R2395,bigarían,79,word,1,True,1,0.5878911018371582,2,
R2395,ciperé,80,word,1,True,1,0.56740403175354,2,
R2395,vultaba,81,word,1,True,1,0.6509220600128174,2,
R2395,moncían,82,word,1,True,1,0.8039140701293945,2,
R2395,fanerían,83,word,1,True,1,0.5938541889190674,2,
R2395,porerás,84,word,1,True,1,0.8749361038208008,2,
R2395,pactarás,85,word,2,True,1,1.7189252376556396,1,
R2395,cetaría,86,word,1,True,1,0.6509430408477783,2,
R2395,bigarías,87,word,1,True,1,0.7318820953369141,2,
R2395,cichía,88,word,1,True,1,0.611968994140625,2,
R2395,juraré,89,word,2,True,1,0.7290511131286621,1,
R2395,metía,90,word,2,True,1,0.6387729644775391,1,
R2395,cisabas,91,word,1,True,1,0.6039779186248779,2,
R2395,rayaría,92,word,2,True,1,0.7679238319396973,1,
R2395,prenderás,93,word,2,True,1,0.5777671337127686,1,
R2395,toserían,94,word,2,True,1,0.6228930950164795,1,
R2395,cosían,95,word,2,True,1,0.6929662227630615,1,
R2395,vultarías,96,word,1,True,1,0.6748931407928467,2,
R2395,ceflían,97,word,1,True,1,0.5809381008148193,2,
R2395,temerás,98,word,2,True,1,0.6569273471832275,1,
R2395,porerán,99,word,1,True,1,0.9287219047546387,2,
R2395,moncía,100,word,1,True,1,0.7248039245605469,2,
R2395,zusaríamos,101,word,1,True,1,0.7159879207611084,2,
R2395,rayaré,102,word,2,True,1,0.8118572235107422,1,
R2395,cenaríamos,103,word,2,True,1,0.941868782043457,1,
R2395,lachía,104,word,1,True,1,0.7349467277526855,2,
R2395,cortaría,105,word,2,True,1,0.9360251426696777,1,
R2395,cubriría,106,word,1,False,1,0.7019500732421875,1,
R2395,sufriremos,107,word,2,True,1,0.9839370250701904,1,
R2395,cortaré,108,word,2,True,1,0.8474009037017822,1,
R2395,rayaban,109,word,2,True,1,0.7249751091003418,1,
R2395,anreríamos,110,word,p,False,1,140.61270403862,2,
R2395,narrarían,111,word,2,True,1,1.1728589534759521,1,
R2395,retaría,112,word,2,True,1,0.6887788772583008,1,
R2395,jurabas,113,word,2,True,1,0.57293701171875,1,
R2395,bruviré,114,word,1,True,1,0.8093888759613037,2,
R2395,rotarán,115,word,2,True,1,0.6970698833465576,1,
R2395,arderían,116,word,2,True,1,0.5980279445648193,1,
R2395,tujirás,117,word,1,True,1,0.7378580570220947,2,
R2395,runaban,118,word,1,True,1,0.7072329521179199,2,
R2395,quijarías,119,word,1,True,1,0.7171270847320557,2,
R2395,rimaremos,120,word,2,True,1,1.271510124206543,1,
R2395,partiríamos,121,word,2,True,1,0.6689159870147705,1,
R2395,anrería,122,word,1,True,1,0.8138751983642578,2,
R2395,mertarán,123,word,1,True,1,0.8718421459197998,2,
R2395,faneremos,124,word,1,True,1,0.6149032115936279,2,
R2395,mardiremos,125,word,1,True,1,0.6619420051574707,2,
R2395,juraban,126,word,2,True,1,0.6999030113220215,1,
R2395,bigaremos,127,word,1,True,1,0.7029917240142822,2,
R2395,tujirían,128,word,1,True,1,0.8279879093170166,2,
R2395,riterás,129,word,1,True,1,0.5679380893707275,2,
R2395,lacherás,130,word,1,True,1,0.7478549480438232,2,
R2395,bailaría,131,word,2,True,1,0.8420510292053223,1,
R2395,porerá,132,word,1,True,1,0.7937898635864258,2,
R2395,chanrarían,133,word,1,True,1,0.6599669456481934,2,
R2395,cosías,134,word,2,True,1,0.6499872207641602,1,
