participant,stimuli,trialNum,target_type,response,correct,block,reaction_time,trigger,
R2427,imirías,1,word,1,True,1,0.7828967571258545,2,
R2427,luchará,2,word,2,True,1,0.6569080352783203,1,
R2427,retarás,3,word,2,True,1,0.8508529663085938,1,
R2427,pactabas,4,word,1,False,1,1.0159790515899658,1,
R2427,bimaré,5,word,1,True,1,0.6823680400848389,2,
R2427,cenaríamos,6,word,2,True,1,0.9709861278533936,1,
R2427,galarían,7,word,1,True,1,1.1566162109375,2,
R2427,honderían,8,word,1,True,1,1.1077890396118164,2,
R2427,fanerá,9,word,1,True,1,1.064283847808838,2,
R2427,retarían,10,word,2,True,1,0.8060259819030762,1,
R2427,temían,11,word,2,True,1,0.7389020919799805,1,
R2427,rayaba,12,word,2,True,1,1.033905267715454,1,
R2427,seserás,13,word,1,True,1,1.1497180461883545,2,
R2427,lacherán,14,word,p,False,1,399.8652341365814,2,
