participant,stimuli,trialNum,target_type,response,correct,block,reaction_time,trigger,
R2422,sufriría,1,word,2,True,1,0.9978847503662109,1,
R2422,rotará,2,word,2,True,1,1.4551396369934082,1,
R2422,formaremos,3,word,2,True,1,1.65004301071167,1,
R2422,comeré,4,word,2,True,1,0.8158867359161377,1,
R2422,charlará,5,word,2,True,1,1.7390120029449463,1,
R2422,cortará,6,word,2,True,1,0.9627268314361572,1,
R2422,sufrías,7,word,2,True,1,1.2369599342346191,1,
R2422,eplaremos,8,word,1,True,1,0.8405129909515381,2,
R2422,cumpliríamos,9,word,2,True,1,1.1778020858764648,1,
R2422,monceré,10,word,1,True,1,1.2359633445739746,2,
R2422,cosería,11,word,2,True,1,0.8060517311096191,1,
R2422,galarás,12,word,1,True,1,1.7539281845092773,2,
R2422,toseremos,13,word,2,True,1,0.9647359848022461,1,
R2422,vultaré,14,word,1,True,1,1.6459431648254395,2,
R2422,eplabas,15,word,1,True,1,1.3528010845184326,2,
R2422,sumaba,16,word,2,True,1,0.7228972911834717,1,
R2422,honderías,17,word,1,True,1,1.4149508476257324,2,
R2422,partiremos,18,word,2,True,1,1.2530059814453125,1,
R2422,besarás,19,word,2,True,1,0.7968299388885498,1,
R2422,fundiré,20,word,2,True,1,0.861058235168457,1,
R2422,lorgaré,21,word,1,True,1,1.1989178657531738,2,
R2422,monceremos,22,word,1,True,1,1.5479609966278076,2,
R2422,vendíamos,23,word,2,True,1,1.0529110431671143,1,
R2422,pavaba,24,word,1,True,1,1.1910769939422607,2,
R2422,cuarría,25,word,1,True,1,1.5208241939544678,2,
R2422,arderíamos,26,word,2,True,1,1.3400559425354004,1,
R2422,galábamos,27,word,1,True,1,1.4329919815063477,2,
R2422,maftaba,28,word,1,True,1,1.1778409481048584,2,
R2422,lacherías,29,word,1,True,1,1.5529258251190186,2,
R2422,porían,30,word,1,True,1,1.24098801612854,2,
R2422,rimará,31,word,2,True,1,1.3329150676727295,1,
R2422,cichirían,32,word,1,True,1,1.302903175354004,2,
R2422,eplaba,33,word,1,True,1,0.783958911895752,2,
R2422,burraban,34,word,1,True,1,1.2831177711486816,2,
R2422,lacherá,35,word,1,True,1,1.4738759994506836,2,
R2422,besaríamos,36,word,2,True,1,0.745995044708252,1,
R2422,temería,37,word,2,True,1,0.9538869857788086,1,
R2422,cichía,38,word,1,True,1,0.9680469036102295,2,
R2422,metían,39,word,2,True,1,0.7259080410003662,1,
R2422,partías,40,word,2,True,1,0.9490070343017578,1,
R2422,sumaría,41,word,2,True,1,0.7324788570404053,1,
R2422,zusaremos,42,word,1,True,1,2.4330410957336426,2,
R2422,pavabas,43,word,1,True,1,0.9850897789001465,2,
R2422,bimabas,44,word,1,True,1,1.4709007740020752,2,
R2422,bruviría,45,word,1,True,1,1.3588769435882568,2,
R2422,quijarían,46,word,1,True,1,1.6329269409179688,2,
R2422,lucharían,47,word,2,True,1,0.7289938926696777,1,
R2422,luntías,48,word,1,True,1,1.1628479957580566,2,
R2422,gachabas,49,word,1,True,1,1.1879169940948486,2,
R2422,zusarán,50,word,1,True,1,2.1880099773406982,2,
R2422,rayaré,51,word,2,True,1,1.121086835861206,1,
R2422,imirían,52,word,1,True,1,1.3909213542938232,2,
R2422,honderé,53,word,1,True,1,1.218095064163208,2,
R2422,cedíamos,54,word,2,True,1,0.8950731754302979,1,
R2422,cumplías,55,word,2,True,1,0.8538873195648193,1,
R2422,metería,56,word,2,True,1,0.7399051189422607,1,
R2422,cubríamos,57,word,2,True,1,0.6693148612976074,1,
R2422,coserás,58,word,2,True,1,0.7767801284790039,1,
R2422,besarán,59,word,2,True,1,0.5460958480834961,1,
R2422,pavará,60,word,1,True,1,0.9200308322906494,2,
R2422,rayarás,61,word,2,True,1,0.8119339942932129,1,
R2422,mardiría,62,word,1,True,1,1.1860437393188477,2,
R2422,narraría,63,word,2,True,1,1.4697649478912354,1,
R2422,sumarías,64,word,2,True,1,0.9540948867797852,1,
R2422,lorgaría,65,word,1,True,1,0.995074987411499,2,
R2422,bruvías,66,word,1,True,1,1.0721328258514404,2,
R2422,quemaría,67,word,2,True,1,0.7960600852966309,1,
R2422,correrá,68,word,2,True,1,0.7961220741271973,1,
R2422,chanraríamos,69,word,1,True,1,1.83571195602417,2,
R2422,correríamos,70,word,2,True,1,1.0609400272369385,1,
R2422,somían,71,word,1,True,1,1.2688758373260498,2,
R2422,rayaríamos,72,word,2,True,1,1.0419979095458984,1,
R2422,someré,73,word,1,True,1,1.6910438537597656,2,
R2422,nadaba,74,word,2,True,1,0.8101589679718018,1,
R2422,narraban,75,word,2,True,1,2.1171088218688965,1,
R2422,barrían,76,word,2,True,1,0.9977381229400635,1,
R2422,retaré,77,word,2,True,1,1.0586330890655518,1,
R2422,gacharemos,78,word,1,True,1,1.5419609546661377,2,
R2422,rotarías,79,word,2,True,1,0.7998640537261963,1,
R2422,rimaban,80,word,2,True,1,1.19474196434021,1,
R2422,tujirás,81,word,1,True,1,0.9659421443939209,2,
R2422,fanían,82,word,1,True,1,1.1799218654632568,2,
R2422,chanraría,83,word,1,True,1,1.512152910232544,2,
R2422,lorgará,84,word,1,True,1,1.2799229621887207,2,
R2422,jurarían,85,word,2,True,1,0.9790511131286621,1,
R2422,quijaban,86,word,1,True,1,1.6943559646606445,2,
R2422,tosíamos,87,word,2,True,1,0.8679499626159668,1,
R2422,imiremos,88,word,1,True,1,1.2749860286712646,2,
R2422,rimabas,89,word,2,True,1,0.8872640132904053,1,
R2422,fanía,90,word,2,False,1,1.300853967666626,2,
R2422,quijarán,91,word,1,True,1,1.201888084411621,2,
R2422,hondería,92,word,1,True,1,1.2509651184082031,2,
R2422,lorgarán,93,word,1,True,1,1.4220161437988281,2,
R2422,barrías,94,word,2,True,1,0.8570840358734131,1,
R2422,unirán,95,word,2,True,1,0.960961103439331,1,
R2422,juraríamos,96,word,2,True,1,1.199141263961792,1,
R2422,cuarrirías,97,word,1,True,1,1.9750189781188965,2,
R2422,luchará,98,word,2,True,1,1.5937190055847168,1,
R2422,cetaba,99,word,1,True,1,1.4641129970550537,2,
R2422,venderán,100,word,2,True,1,1.1389169692993164,1,
R2422,lorgaríamos,101,word,1,True,1,1.4240529537200928,2,
R2422,pactabas,102,word,2,True,1,1.3780627250671387,1,
R2422,fundirías,103,word,2,True,1,1.2399840354919434,1,
R2422,cisaba,104,word,1,True,1,1.158041000366211,2,
R2422,gachábamos,105,word,1,True,1,1.2680950164794922,2,
R2422,vendías,106,word,2,True,1,0.7299158573150635,1,
R2422,luchaba,107,word,2,True,1,0.7180590629577637,1,
R2422,venderían,108,word,2,True,1,0.8709812164306641,1,
R2422,cubriríamos,109,word,2,True,1,1.3249869346618652,1,
R2422,runaré,110,word,1,True,1,1.6120140552520752,2,
R2422,maftarías,111,word,1,True,1,1.224945068359375,2,
R2422,frinderá,112,word,1,True,1,1.7280220985412598,2,
R2422,correrías,113,word,2,True,1,1.095909833908081,1,
R2422,anrerán,114,word,1,True,1,1.6359663009643555,2,
R2422,temía,115,word,2,True,1,0.6629421710968018,1,
R2422,rotaban,116,word,2,True,1,0.8159701824188232,1,
R2422,formaban,117,word,2,True,1,0.9438672065734863,1,
R2422,lamíamos,118,word,2,True,1,1.3059461116790771,1,
R2422,cortarías,119,word,2,True,1,1.0085968971252441,1,
R2422,sesía,120,word,1,True,1,1.299532175064087,2,
R2422,cumplía,121,word,2,True,1,0.7999601364135742,1,
R2422,runará,122,word,1,True,1,1.1628758907318115,2,
R2422,tujía,123,word,1,True,1,1.1348989009857178,2,
R2422,venderás,124,word,2,True,1,0.690072774887085,1,
R2422,quemaré,125,word,2,True,1,0.7249979972839355,1,
R2422,porías,126,word,1,True,1,1.2459640502929688,2,
R2422,meterían,127,word,2,True,1,0.8029181957244873,1,
R2422,corría,128,word,2,True,1,0.9642291069030762,1,
R2422,pavaríamos,129,word,1,True,1,1.2790911197662354,2,
R2422,nadará,130,word,2,True,1,1.372818946838379,1,
R2422,ciperán,131,word,1,True,1,1.2802069187164307,2,
R2422,sesíamos,132,word,1,True,1,1.2018840312957764,2,
R2422,cumplirás,133,word,2,True,1,1.0460562705993652,1,
R2422,chanrabas,134,word,1,True,1,1.4203572273254395,2,
R2422,tupliríamos,135,word,1,True,1,2.370192050933838,2,
R2422,besaremos,136,word,2,True,1,0.7325830459594727,1,
R2422,corrían,137,word,2,True,1,0.681145191192627,1,
R2422,tujías,138,word,1,True,1,1.0280859470367432,2,
R2422,cortaré,139,word,2,True,1,0.8700001239776611,1,
R2422,cenaré,140,word,2,True,1,0.6811819076538086,1,
R2422,bimaría,141,word,1,True,1,1.0561449527740479,2,
R2422,retarían,142,word,2,True,1,1.2040140628814697,1,
R2422,obrabas,143,word,2,True,1,1.5771489143371582,1,
R2422,rondará,144,word,2,True,1,1.6361289024353027,1,
R2422,temíamos,145,word,2,True,1,0.7032279968261719,1,
R2422,morderán,146,word,2,True,1,0.8111569881439209,1,
R2422,vultará,147,word,1,True,1,1.1979939937591553,2,
R2422,sindará,148,word,1,True,1,2.187721014022827,2,
R2422,charlaríamos,149,word,2,True,1,1.483030080795288,1,
R2422,formarán,150,word,2,True,1,1.0399222373962402,1,
