participant,stimuli,trialNum,target_type,response,correct,block,reaction_time,trigger,
R2474,lamerán,1,word,2,True,1,1.7005929946899414,1,
R2474,frinderían,2,word,2,False,1,1.9829988479614258,2,
R2474,maftaré,3,word,1,True,1,1.3831307888031006,2,
R2474,sumarán,4,word,2,True,1,0.856881856918335,1,
R2474,retará,5,word,2,True,1,0.6919317245483398,1,
R2474,faltarás,6,word,2,True,1,1.3024098873138428,1,
R2474,retaba,7,word,2,True,1,0.9990026950836182,1,
R2474,frinderán,8,word,1,True,1,1.069861888885498,2,
R2474,tujías,9,word,1,True,1,1.6821911334991455,2,
R2474,rondábamos,10,word,2,True,1,1.6051709651947021,1,
R2474,eplábamos,11,word,1,True,1,1.5030038356781006,2,
R2474,coseremos,12,word,2,True,1,1.6138739585876465,1,
R2474,cubriríamos,13,word,2,True,1,1.1847751140594482,1,
R2474,pactará,14,word,2,True,1,1.3739252090454102,1,
R2474,bimarás,15,word,1,True,1,1.5669770240783691,2,
R2474,luchabas,16,word,2,True,1,0.8289480209350586,1,
R2474,sindaremos,17,word,2,False,1,1.182992935180664,2,
R2474,sesían,18,word,1,True,1,1.010688066482544,2,
R2474,cederá,19,word,2,True,1,0.9888522624969482,1,
R2474,rimaríamos,20,word,2,True,1,1.7769711017608643,1,
R2474,temería,21,word,2,True,1,0.8387470245361328,1,
R2474,focarías,22,word,2,False,1,0.7467679977416992,2,
R2474,zusaré,23,word,1,True,1,0.7211079597473145,2,
R2474,narraba,24,word,2,True,1,1.4700212478637695,1,
R2474,imiré,25,word,1,True,1,1.116344928741455,2,
R2474,riterás,26,word,2,False,1,1.1719019412994385,2,
R2474,cubriré,27,word,2,True,1,0.7957451343536377,1,
R2474,retarás,28,word,2,True,1,0.8078567981719971,1,
R2474,formaríamos,29,word,2,True,1,1.5429308414459229,1,
R2474,pactaríamos,30,word,2,True,1,0.7257709503173828,1,
R2474,sufría,31,word,2,True,1,0.9461960792541504,1,
R2474,rayarían,32,word,2,True,1,0.8008620738983154,1,
R2474,metían,33,word,2,True,1,1.1154499053955078,1,
R2474,burrarías,34,word,1,True,1,1.9418890476226807,2,
R2474,sauaremos,35,word,1,True,1,1.060866117477417,2,
R2474,zusaremos,36,word,1,True,1,1.2538228034973145,2,
R2474,ciperíamos,37,word,1,True,1,1.5969500541687012,2,
R2474,faneré,38,word,1,True,1,1.97176194190979,2,
R2474,lorgaré,39,word,2,False,1,0.7741398811340332,2,
R2474,hondían,40,word,2,False,1,0.7801449298858643,2,
R2474,mordería,41,word,2,True,1,1.392782211303711,1,
R2474,metíamos,42,word,2,True,1,1.383997917175293,1,
R2474,lamería,43,word,2,True,1,1.0520870685577393,1,
R2474,tosía,44,word,2,True,1,1.120812177658081,1,
R2474,bimarán,45,word,1,True,1,0.8159050941467285,2,
R2474,porías,46,word,1,True,1,1.3990888595581055,2,
R2474,hondías,47,word,2,False,1,1.6519489288330078,2,
R2474,charlabas,48,word,2,True,1,0.7858328819274902,1,
R2474,runaríamos,49,word,1,True,1,1.5417351722717285,2,
R2474,quijaríamos,50,word,p,False,1,185.5212721824646,2,
R2474,fanerían,51,word,1,True,1,2.473477840423584,2,
R2474,subiremos,52,word,2,True,1,1.4669091701507568,1,
R2474,nadaría,53,word,2,True,1,1.3673679828643799,1,
R2474,cisábamos,54,word,1,True,1,1.0468769073486328,2,
R2474,eplaré,55,word,1,True,1,1.0187020301818848,2,
R2474,mordíamos,56,word,2,True,1,1.40299391746521,1,
R2474,jurará,57,word,2,True,1,0.7849647998809814,1,
R2474,obraríamos,58,word,2,True,1,1.2528181076049805,1,
R2474,rondaremos,59,word,2,True,1,1.6439030170440674,1,
R2474,temerían,60,word,2,True,1,0.6738409996032715,1,
R2474,bailará,61,word,2,True,1,0.6684291362762451,1,
R2474,lailaría,62,word,1,True,1,1.139415979385376,2,
R2474,maftarías,63,word,1,True,1,1.6279699802398682,2,
R2474,moncerían,64,word,1,True,1,1.4739999771118164,2,
R2474,casabas,65,word,2,True,1,0.561053991317749,1,
R2474,quijaban,66,word,2,False,1,1.2457528114318848,2,
R2474,obraba,67,word,1,False,1,2.449910879135132,1,
R2474,toserías,68,word,2,True,1,0.7836480140686035,1,
R2474,ceterán,69,word,1,True,1,0.9538037776947021,2,
R2474,chanraban,70,word,1,True,1,1.1475849151611328,2,
R2474,retarían,71,word,2,True,1,0.7338991165161133,1,
R2474,rotaba,72,word,2,True,1,0.5987799167633057,1,
R2474,cortaré,73,word,2,True,1,1.2778730392456055,1,
R2474,meterían,74,word,2,True,1,0.8478899002075195,1,
R2474,subirás,75,word,2,True,1,1.1716680526733398,1,
R2474,cederás,76,word,1,False,1,1.5850000381469727,1,
R2474,narrábamos,77,word,1,False,1,1.4137978553771973,1,
R2474,morderás,78,word,2,True,1,1.7940540313720703,1,
R2474,rayaría,79,word,2,True,1,0.6577811241149902,1,
R2474,bigabas,80,word,1,True,1,1.0679311752319336,2,
R2474,rayarás,81,word,2,True,1,0.8650898933410645,1,
R2474,sufrían,82,word,2,True,1,0.7299690246582031,1,
R2474,chanraría,83,word,1,True,1,1.7655918598175049,2,
R2474,partirán,84,word,2,True,1,1.473060131072998,1,
R2474,casaríamos,85,word,2,True,1,0.8959519863128662,1,
R2474,gruñías,86,word,1,False,1,1.8302481174468994,1,
R2474,venderíamos,87,word,2,True,1,1.1605360507965088,1,
R2474,sufrirían,88,word,2,True,1,0.8867318630218506,1,
R2474,burraré,89,word,1,True,1,1.5187430381774902,2,
R2474,vultarías,90,word,2,False,1,1.8179309368133545,2,
R2474,mertabas,91,word,1,True,1,1.093050241470337,2,
R2474,lamerías,92,word,1,False,1,1.4448950290679932,1,
R2474,subían,93,word,2,True,1,0.6839942932128906,1,
R2474,focaremos,94,word,1,True,1,1.9338889122009277,2,
R2474,subiré,95,word,2,True,1,1.007934808731079,1,
R2474,morderían,96,word,2,True,1,0.9486448764801025,1,
R2474,gruñiría,97,word,1,False,1,1.4957199096679688,1,
R2474,retaban,98,word,2,True,1,0.665708065032959,1,
R2474,cenará,99,word,2,True,1,0.9729788303375244,1,
R2474,cumpliremos,100,word,1,False,1,1.5407519340515137,1,
R2474,comeríamos,101,word,2,True,1,1.3318078517913818,1,
R2474,maftarán,102,word,1,True,1,0.8670406341552734,2,
R2474,lamerían,103,word,1,False,1,1.4289941787719727,1,
R2474,gruñirían,104,word,1,False,1,2.3437771797180176,1,
R2474,quijarás,105,word,1,True,1,1.5398080348968506,2,
R2474,quemarás,106,word,2,True,1,1.041905164718628,1,
R2474,coserás,107,word,2,True,1,1.3117003440856934,1,
R2474,barreré,108,word,2,True,1,1.5628750324249268,1,
R2474,comías,109,word,2,True,1,0.9369587898254395,1,
R2474,honderé,110,word,1,True,1,1.538856029510498,2,
R2474,formarías,111,word,2,True,1,1.3734080791473389,1,
R2474,sumaban,112,word,2,True,1,0.787010908126831,1,
R2474,unirá,113,word,2,True,1,1.291860818862915,1,
R2474,bailaríamos,114,word,2,True,1,0.7009060382843018,1,
R2474,cenaremos,115,word,2,True,1,0.8670601844787598,1,
R2474,meteré,116,word,2,True,1,1.5209319591522217,1,
R2474,zusarías,117,word,1,True,1,1.016874074935913,2,
R2474,rotaban,118,word,2,True,1,0.8759033679962158,1,
R2474,rotarían,119,word,2,True,1,3.1558151245117188,1,
R2474,imiría,120,word,1,True,1,1.1789319515228271,2,
R2474,focabas,121,word,1,True,1,2.119828939437866,2,
R2474,charlaba,122,word,2,True,1,0.9679632186889648,1,
R2474,toseremos,123,word,2,True,1,3.04000186920166,1,
R2474,bailaremos,124,word,2,True,1,0.5878639221191406,1,
R2474,galarías,125,word,2,False,1,2.6618120670318604,2,
R2474,comerás,126,word,2,True,1,1.5851051807403564,1,
R2474,lucharía,127,word,1,False,1,2.5789170265197754,1,
