workerid,proliferate.condition,correct_answer,prime,probeContent,response,rt,slide_number_in_experiment,target,trial_type,catch_trials,subject_information.age,subject_information.assess,subject_information.chinese_country_years,subject_information.chinese_family_years,subject_information.chinese_school_work_years_spoken,subject_information.chinese_school_work_years_written,subject_information.comments,subject_information.education,subject_information.gender,subject_information.otherLanguage,subject_information.problems,subject_information.prolific_ID,system.Browser,system.OS,system.screenH,system.screenW,time_in_minutes,error
5,condition1,2,餵,懼,j,2233,8,懼,phon-sem,[],31,No,25,25,19,19,暫無，謝謝您的邀請。,4,Male,漢語，英語，西班牙語,無,664db585355de70e17541e5a,Chrome,Windows,1080,1920,17.978566666666666,
5,condition1,2,眠,務,j,2181,9,務,con,[],31,No,25,25,19,19,暫無，謝謝您的邀請。,4,Male,漢語，英語，西班牙語,無,664db585355de70e17541e5a,Chrome,Windows,1080,1920,17.978566666666666,
5,condition1,1,城,城,f,2344,10,功,phon-sem,[],31,No,25,25,19,19,暫無，謝謝您的邀請。,4,Male,漢語，英語，西班牙語,無,664db585355de70e17541e5a,Chrome,Windows,1080,1920,17.978566666666666,
5,condition1,1,真,真,f,2201,11,實,sem-sem,[],31,No,25,25,19,19,暫無，謝謝您的邀請。,4,Male,漢語，英語，西班牙語,無,664db585355de70e17541e5a,Chrome,Windows,1080,1920,17.978566666666666,
5,condition1,2,孩,侵,j,2392,12,侵,con,[],31,No,25,25,19,19,暫無，謝謝您的邀請。,4,Male,漢語，英語，西班牙語,無,664db585355de70e17541e5a,Chrome,Windows,1080,1920,17.978566666666666,
5,condition1,2,詞,絲,j,2255,13,絲,phon-phon,[],31,No,25,25,19,19,暫無，謝謝您的邀請。,4,Male,漢語，英語，西班牙語,無,664db585355de70e17541e5a,Chrome,Windows,1080,1920,17.978566666666666,
5,condition1,1,壢,壢,f,2192,14,史,phon-sem,[],31,No,25,25,19,19,暫無，謝謝您的邀請。,4,Male,漢語，英語，西班牙語,無,664db585355de70e17541e5a,Chrome,Windows,1080,1920,17.978566666666666,
5,condition1,1,羨,羨,f,2487,15,慕,sem-sem,[],31,No,25,25,19,19,暫無，謝謝您的邀請。,4,Male,漢語，英語，西班牙語,無,664db585355de70e17541e5a,Chrome,Windows,1080,1920,17.978566666666666,
5,condition1,2,跟,董,j,2351,16,董,con,[],31,No,25,25,19,19,暫無，謝謝您的邀請。,4,Male,漢語，英語，西班牙語,無,664db585355de70e17541e5a,Chrome,Windows,1080,1920,17.978566666666666,
5,condition1,1,喧,喧,f,2351,17,佈,phon-sem,[],31,No,25,25,19,19,暫無，謝謝您的邀請。,4,Male,漢語，英語，西班牙語,無,664db585355de70e17541e5a,Chrome,Windows,1080,1920,17.978566666666666,
5,condition1,2,脆,微,j,2271,18,微,phon-phon,[],31,No,25,25,19,19,暫無，謝謝您的邀請。,4,Male,漢語，英語，西班牙語,無,664db585355de70e17541e5a,Chrome,Windows,1080,1920,17.978566666666666,
5,condition1,1,拒,拒,f,2200,19,大,phon-sem,[],31,No,25,25,19,19,暫無，謝謝您的邀請。,4,Male,漢語，英語，西班牙語,無,664db585355de70e17541e5a,Chrome,Windows,1080,1920,17.978566666666666,
5,condition1,1,憾,憾,f,2566,20,敢,phon-phon,[],31,No,25,25,19,19,暫無，謝謝您的邀請。,4,Male,漢語，英語，西班牙語,無,664db585355de70e17541e5a,Chrome,Windows,1080,1920,17.978566666666666,
